cat videoID numOfSnippet
15 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00059 1
15 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00068 16
15 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00012 11
15 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00235 9
15 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00212 1
15 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00287 4
15 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00177 16
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00229 2
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00210 2
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00181 3
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00149 2
7 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00092 43
7 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00132 1
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00308 1
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00184 6
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00232 1
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00207 1
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00196 1
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00240 3
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00176 9
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00225 2
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00302 20
7 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00049 1
7 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00124 14
7 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00053 5
7 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00071 6
7 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00040 12
7 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00025 3
7 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00047 25
7 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00018 3
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00293 8
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00166 2
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00287 3
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00290 1
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00164 2
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00250 2
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00301 24
7 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00073 39
7 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00180 1
7 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00016 13
30 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00186 2
30 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00023 2
30 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00107 1
30 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00264 2
30 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00294 2
30 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00165 7
30 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00169 5
30 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00223 8
30 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00306 2
30 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00213 1
30 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00146 2
30 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00100 3
30 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00295 1
22 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00050 8
22 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00256 13
22 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00125 12
22 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00185 2
22 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00215 11
22 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00060 17
4 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00025 1
4 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00071 20
4 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00293 1
4 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00310 1
4 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00272 37
4 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00265 57
4 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00225 2
